旧值	新值	频率
标注轮胎策略	标注象限策略	1
标注轮胎策略变化	标注象限策略	1
标注载药%和释放	标注占比	1
标注辩论日和关键事件	标注事件	1
标注边际减排成本曲线	标注关键信息	1
标注边际成本矿	标注关键信息	1
标注边际递减点	标注关键信息	1
标注达成概率	标注数值	1
标注达成率%	标注转化率	2
标注达成率和差距	标注转化率	1
标注达标	标注数值	1
标注达标时间	标注关键信息	1
标注达标状态	标注关键信息	1
标注达标率	标注关键信息	1
标注达标率%	标注占比	1
标注达标百分比	标注占比	1
标注达标线	标注参考线	3
标注迁徙路径	标注阶段	1
标注迁徙量	标注数值	4
标注迁移原因	标注驱动因素	1
标注迁移成本	标注关键信息	1
标注迁移拐点	标注趋势特征	1
标注迁移率	标注关键信息	1
标注迁移趋势	标注趋势特征	1
标注迁移速度	标注关键信息	1
标注迁移障碍降低	标注关键信息	1
标注过剩/短缺量	标注关键信息	1
标注过拟合区	标注关键信息	1
标注过程能力	标注关键信息	1
标注运价	标注数值	1
标注运价峰值和事件	标注事件	1
标注运价峰值和疫情事件	标注事件	1
标注运价指数	标注评分	1
标注运价波动	标注关键信息	1
标注运价驱动事件	标注事件	1
标注运力份额	标注金额占比	1
标注运营商名	标注关键信息	1
标注运营建议窗口	标注驱动因素	1
标注运行时间和内存	标注关键信息	1
标注还款率	标注关键信息	1
标注进入/退出	标注关键信息	1
标注进入/退出市场	标注关键信息	1
标注进入策略	标注象限策略	1
标注进化分支	标注关键信息	1
标注进展	标注数值	2
标注进展速度	标注关键信息	1
标注进度	标注数值	2
标注进度%和机时	标注占比	1
标注进攻次数	标注关键信息	1
标注进步	标注数值	1
标注进步最大	标注趋势特征	1
标注进步最大维度	标注维度评分	1
标注进步速度	标注关键信息	1
标注进球概率	标注数值	1
标注进球模式	标注关键信息	1
标注进站事件	标注事件	1
标注进站时机	标注关键信息	1
标注远程办公影响	标注关键信息	1
标注违约率bp	标注关键信息	1
标注连接	标注数值	1
标注连通指数	标注评分	1
标注连锁化率和目标差距	标注差异	1
标注迭代/周	标注关键信息	1
标注追赶路径	标注阶段	1
标注退出偏好	标注关键信息	1
标注退出潮	标注关键信息	1
标注退出里程碑	标注阶段	1
标注退化服务	标注关键信息	1
标注退化面积和速率	标注关键信息	1
标注退化风险	标注风险	1
标注适应需求	标注关键信息	1
标注适当性匹配	标注关键信息	1
标注适用场景	标注关键信息	2
标注逃逸机制和频率	标注关键信息	1
标注逃逸率和基因沉默效率	标注效率	1
标注选举人票数	标注关键信息	1
标注选区号和人口变化	标注数值	1
标注选择建议	标注驱动因素	1
标注选择百分比	标注占比	1
标注通胀/通缩信号	标注关键信息	1
标注通胀传导	标注关键信息	1
标注通胀拐点	标注趋势特征	1
标注通胀调整价	标注关键信息	1
标注通胀预期区间	标注关键信息	1
标注通胀风险区	标注风险	1
标注通胀驱动	标注驱动因素	1
标注通路名和富集	标注关键信息	1
标注通路名称和相对丰度	标注关键信息	1
标注通路活性和基因集	标注关键信息	1
标注通路活性和靶基因	标注关键信息	1
标注通过率	标注转化率	8
标注通过率和周期	标注转化率	1
标注通过率要求	标注转化率	1
标注通过线	标注关键信息	1
标注通量mmol/g	标注关键信息	1
标注通量和环境阈值	标注关键信息	1
标注速度km/h	标注关键信息	1
标注速度和成本评分	标注评分	1
标注速率	标注数值	1
标注速率变化	标注关键信息	1
标注速率和伪时间	标注关键信息	1
标注造假节点	标注阶段	1
标注造林面积	标注关键信息	1
标注造船周期拐点	标注阶段	1
标注道路等级	标注评分	1
标注遗产覆盖	标注关键信息	1
标注邮件量	标注关键信息	1
标注邻域类型和细胞密度	标注趋势特征	1
标注邻域类型和距离	标注关键信息	1
标注部署数和ROI	标注效率	1
标注部署数和场景数	标注关键信息	1
标注部署规模和增速	标注规模增速	1
标注部署进度	标注关键信息	1
标注部署速度	标注关键信息	2
标注部署里程碑和总量预测	标注阶段	1
标注部门	标注数值	1
标注部门占比	标注占比	1
标注都会区名	标注关键信息	1
标注配体-受体对	标注关键信息	1
标注配体-受体对和方向	标注关键信息	1
标注配体-受体对和通路	标注关键信息	1
标注配体受体和信号方向	标注关键信息	1
标注配体受体和信号通路	标注关键信息	1
标注配体受体和通路	标注关键信息	1
标注配置比例和变化	标注占比	2
标注配速min/km	标注关键信息	1
标注配速策略	标注象限策略	1
标注酶类型和底物	标注关键信息	1
标注酸化速率	标注关键信息	1
标注采用%	标注占比	5
标注采用%和ROI	标注占比	1
标注采用%和金额	标注金额占比	1
标注采用/衰退拐点	标注趋势特征	1
标注采用差距	标注差异	1
标注采用指数	标注评分	1
标注采用曲线阶段分区	标注阶段	1
标注采用率	标注占比	4
标注采用率%	标注占比	1
标注采用率变化	标注占比	2
标注采用率和	标注占比	1
标注采用率和交易规模	标注占比	1
标注采用率和增长斜率	标注占比	1
标注采用率和应用数	标注占比	1
标注采用率和成本节约	标注占比	1
标注采用率和成熟度	标注占比	1
标注采用率和投资规模	标注占比	1
标注采用率和效率提升	标注占比	1
标注采用率和有效性	标注占比	1
标注采用率和框架数	标注占比	1
标注采用率和框架类型	标注占比	1
标注采用率和满意度	标注占比	1
标注采用率和留存提升	标注占比	1
标注采用率和行业均值	标注占比	1
标注采用率和覆盖范围	标注占比	1
标注采用率和规模	标注占比	1
标注采用趋势	标注趋势特征	3
标注采用速度	标注关键信息	1
标注采用里程碑	标注阶段	1
标注采用门槛线	标注关键信息	1
标注采用阶段	标注阶段	2
标注采用阶段和覆盖率	标注占比	1
标注采用障碍	标注关键信息	1
标注采用驱动	标注驱动因素	1
标注采纳数	标注关键信息	1
标注采纳速度	标注关键信息	1
标注采购策略	标注象限策略	1
标注采集趋势	标注趋势特征	1
标注释放$	标注关键信息	1
标注释放率和肿瘤抑制	标注关键信息	1
标注里程中位数	标注参考线	1
标注里程和全球占比	标注占比	1
标注里程碑	标注阶段	16
标注里程碑事件和占比变化	标注事件	1
标注里程碑任务	标注阶段	3
标注里程碑日期	标注阶段	1
标注里程碑版本发布	标注阶段	1
标注里程碑节点	标注阶段	2
标注里程碑节点和完成百分比	标注占比	1
标注里程碑融资	标注阶段	1
标注里程碑赛事	标注阶段	1
标注重叠	标注数值	1
标注重大事件	标注事件	1
标注重大事件冲击点	标注事件	1
标注重大事件和政策节点	标注事件	1
标注重大事件对需求的影响	标注事件	1
标注重大事件影响	标注事件	1
标注重大任务	标注数值	1
标注重大健康事件	标注事件	1
标注重大发布事件	标注事件	1
标注重大安全事件	标注事件	1
标注重大并购事件和监管变化	标注事件	1
标注重大捐赠年份	标注关键信息	1
标注重大攻击事件	标注事件	1
标注重大政策变化年份	标注事件	1
标注重大政策实施点	标注事件	1
标注重大文化事件	标注事件	1
标注重大新品上市时间	标注关键信息	1
标注重大枪击事件和立法	标注事件	1
标注重大赞助事件	标注事件	1
标注重大项目	标注关键信息	1
标注重大项目落地	标注关键信息	2
标注重建精度和成本	标注关键信息	1
标注重新开放边界事件	标注事件	1
标注重构指数和投资额	标注评分	1
标注重点关注	标注关键信息	1
标注重点地区	标注关键信息	1
标注重点城市和覆盖国家	标注实体名	1
标注重点疾病	标注关键信息	1
标注重点试点城市和场景	标注实体名	1
标注重点试点城市和评级	标注评分	1
标注重点项目	标注关键信息	1
标注重组措施	标注关键信息	1
标注重组目标线	标注参考线	1
标注重要性和市场规模	标注关键信息	1
标注重要性和方向	标注关键信息	1
标注重要性和组学来源	标注关键信息	1
标注重要性差距	标注差异	1
标注重要性评分和方向	标注评分	1
标注量产时间	标注关键信息	2
标注量价关系	标注关键信息	1
标注量价分解	标注关键信息	1
标注量和ETH	标注关键信息	1
标注量和价	标注关键信息	1
标注量和收入$	标注关键信息	1
标注金融危机	标注事件	1
标注金融危机、疫情等事件	标注事件	1
标注金融危机和疫情两个低谷	标注事件	1
标注金融危机和疫情两个拐点	标注事件	1
标注金融危机和脱欧节点	标注事件	1
标注金融危机等事件	标注事件	1
标注金额	标注数值	10
标注金额$亿	标注数值	1
标注金额+公司	标注数值	1
标注金额+增速	标注增长率	1
标注金额占比	标注金额占比	1
标注金额和占GDP%	标注金额占比	1
标注金额和占比	标注金额占比	2
标注金额和同比变化	标注增长率	1
标注金额和同比增速	标注增长率	1
标注金额和同比增长	标注增长率	1
标注金额和回流趋势	标注趋势特征	1
标注金额和百分比	标注占比	1
标注金额和节约率	标注数值	1
标注金额和贡献率	标注数值	11
标注金额和费用率	标注数值	1
标注金额和轮数	标注数值	1
标注金额影响	标注数值	1
标注钱包份额%	标注金额占比	1
标注钱包数和亿	标注关键信息	1
标注银行名	标注关键信息	1
标注链上趋势	标注趋势特征	1
标注链路长度	标注关键信息	1
标注销售额	标注关键信息	2
标注销售额+增速	标注增长率	1
标注销量	标注数值	2
标注销量+区域占比	标注占比	1
标注销量和%	标注占比	1
标注销量和市场份额	标注金额占比	1
标注销量和渗透率	标注占比	1
标注销量和用户	标注关键信息	1
标注销量里程碑	标注阶段	1
标注错误率%	标注占比	1
标注错误计数	标注关键信息	1
标注长期vs短期	标注关键信息	1
标注长期均值线和关键事件	标注事件	1
标注长期平均线	标注参考线	1
标注门/纲/目分类	标注象限策略	1
标注门店净增	标注关键信息	1
标注门店数和销售额	标注关键信息	1
标注门类	标注数值	1
标注问诊百万次	标注关键信息	1
标注问题区域	标注关键信息	1
标注阅读方式变革	标注关键信息	1
标注阈值	标注数值	1
标注阈值线	标注关键信息	1
标注阈值线和各区间客户占比	标注占比	1
标注防御差距	标注差异	1
标注防御建议	标注驱动因素	1
标注防御检测点	标注关键信息	1
标注防御点	标注关键信息	1
标注防御薄弱点	标注关键信息	1
标注防灾进步	标注关键信息	1
标注防疫政策	标注事件	1
标注阶段	标注阶段	5
标注阶段产出	标注阶段	1
标注阶段名、数量和转化率	标注转化率	1
标注阶段名、用户数和转化率	标注转化率	1
标注阶段名称和年份	标注阶段	1
标注阶段和天数	标注阶段	1
标注阶段和新颖度评分	标注评分	1
标注阶段和结果	标注阶段	1
标注阶段目标	标注阶段	3
标注阶段转换	标注阶段	1
标注阶段输出	标注阶段	1
标注阻塞原因	标注驱动因素	1
标注陈列优化	标注关键信息	1
标注降价%	标注占比	1
标注降价比例和品种数	标注占比	1
标注降准降息等政策时点	标注事件	1
标注降幅	标注增长率	4
标注降幅倍数	标注增长率	1
标注降息/加息周期	标注事件	2
标注降本空间	标注效率	3
标注降本路径	标注阶段	2
标注降本项	标注效率	1
标注降温信号	标注关键信息	1
标注降温建议	标注驱动因素	1
标注降级/欧冠线	标注关键信息	1
标注降级风险	标注风险	1
标注降解半衰期	标注关键信息	1
标注限产政策和价格峰值	标注事件	1
标注限购放松等政策时点	标注事件	1
标注随机猜测对角线	标注关键信息	1
标注隐性代价	标注关键信息	1
标注隐性偏差	标注差异	1
标注隐性因素	标注驱动因素	1
标注隐性成本	标注关键信息	1
标注隐性风险	标注风险	2
标注隐私政策	标注事件	1
标注隐私政策影响	标注事件	1
标注隐私边界	标注关键信息	1
标注隔离级别	标注关键信息	1
标注难民人数	标注数值	2
标注集中	标注数值	1
标注集中度	标注关键信息	2
标注集中度变化	标注关键信息	1
标注集成难度和增值	标注关键信息	1
标注雇主差距	标注差异	1
标注零售趋势	标注趋势特征	1
标注零饥饿目标线	标注参考线	1
标注需优先改造	标注关键信息	1
标注需加密区域	标注关键信息	1
标注需培育产业	标注关键信息	1
标注需审计对象	标注关键信息	1
标注需扩展区域	标注关键信息	1
标注需求和匹配率	标注关键信息	1
标注需求和投资额	标注效率	1
标注需求和缺口金额	标注差异	1
标注需求指数	标注评分	1
标注需求系数	标注关键信息	1
标注需求评分和监管进度	标注风险	1
标注需求评分和适应性	标注评分	1
标注需治理水域	标注关键信息	1
标注需立即处理项	标注关键信息	1
标注需立即行动	标注关键信息	1
标注需行动项	标注关键信息	1
标注需采取行动	标注关键信息	1
标注需重点保护	标注关键信息	1
标注需重点辅导学生	标注关键信息	1
标注需黑框警告	标注关键信息	1
标注震源	标注数值	1
标注震级和受灾人数	标注数值	1
标注非法路径	标注阶段	1
标注非洲平均线	标注参考线	1
标注面积	标注数值	1
标注面积+损失	标注关键信息	1
标注面积km²	标注关键信息	1
标注面积万	标注关键信息	1
标注面积万km²	标注关键信息	1
标注面积变化	标注关键信息	1
标注面积和人均	标注关键信息	1
标注靶基因和调控机制	标注关键信息	1
标注靶点评分和可药性	标注评分	1
标注韧性得分	标注评分	1
标注韧性指数	标注评分	3
标注韧性评分和分项	标注评分	1
标注韧性评分和成本指数	标注评分	1
标注顶尖学校	标注关键信息	1
标注项目	标注数值	2
标注项目%	标注占比	1
标注项目名	标注实体名	6
标注项目和转化数	标注关键信息	1
标注项目数	标注关键信息	3
标注项目数和	标注关键信息	1
标注项目数和亿	标注关键信息	1
标注项目数和转化率	标注转化率	1
标注项目数量	标注数值	1
标注顺差	标注数值	1
标注顺差/逆差	标注关键信息	1
标注预期vs实际协同	标注关键信息	1
标注预期到达成熟时间	标注关键信息	1
标注预期到达成熟的时间	标注关键信息	1
标注预期寿命年数	标注关键信息	1
标注预期年份和TRL等级	标注评分	1
标注预期年份和成熟度等级	标注评分	1
标注预测%	标注占比	1
标注预测vs实际	标注关键信息	1
标注预测值	标注关键信息	1
标注预测值%	标注占比	1
标注预测假设	标注关键信息	1
标注预测假设和关键驱动	标注驱动因素	1
标注预测假设和置信区间	标注关键信息	1
标注预测准确率和	标注转化率	1
标注预测准确率和标志物	标注转化率	1
标注预测准确率和特征	标注转化率	1
标注预测区间	标注关键信息	1
标注预测和实际	标注关键信息	1
标注预测和实验	标注关键信息	1
标注预测和实验一致性	标注关键信息	1
标注预测年总量	标注关键信息	1
标注预测指标和阈值	标注关键信息	1
标注预测突破	标注关键信息	1
标注预测翻转	标注关键信息	1
标注预测评分和免疫原性	标注评分	1
标注预测评分和实验值	标注评分	1
标注预测里程碑和总量	标注阶段	1
标注预测驱动	标注驱动因素	1
标注预算分配建议	标注驱动因素	1
标注预算占比和增速	标注增长率	1
标注预算变化	标注关键信息	1
标注预算增长率	标注增长率	2
标注预算帽线	标注关键信息	1
标注预算流向	标注关键信息	1
标注预算百分比和波动贡献	标注占比	1
标注预算迁移	标注关键信息	1
标注预算金额	标注数值	1
标注预算额	标注关键信息	1
标注预约量和评分	标注评分	1
标注预警	标注数值	1
标注预警事件	标注事件	1
标注预警标志物和阈值	标注关键信息	1
标注预警等级	标注评分	1
标注预警级别	标注关键信息	1
标注预警线	标注关键信息	1
标注预计完成	标注关键信息	1
标注预防人数	标注数值	1
标注领先和落后地区	标注关键信息	1
标注领先者象限	标注象限策略	1
标注领先银行和维度	标注维度评分	1
标注领域	标注数值	2
标注领域人数	标注数值	1
标注领域占比	标注占比	1
标注领域差异	标注差异	1
标注领域差距	标注差异	1
标注频次和客单价	标注关键信息	1
标注频道名	标注关键信息	1
标注额和IRR	标注关键信息	1
标注风光超过30%拐点	标注占比	1
标注风控介入事件	标注事件	1
标注风险	标注风险	3
标注风险+流量	标注风险	1
标注风险+规模	标注风险	1
标注风险传染	标注风险	2
标注风险假设	标注风险	1
标注风险偏好边界线	标注风险	1
标注风险名	标注风险	1
标注风险名+级别	标注风险	1
标注风险因素	标注风险	4
标注风险描述	标注风险	4
标注风险收益匹配线	标注风险	1
标注风险敞口	标注风险	1
标注风险点	标注风险	1
标注风险等级	标注风险	8
标注风险等级和缓解措施	标注风险	1
标注风险类型	标注风险	2
标注风险维度	标注风险	4
标注风险聚类区域和关联箭头	标注风险	1
标注风险评分和关键法规	标注风险	1
标注风险评分和成熟度	标注风险	1
标注风险贡献	标注风险	1
标注风险贡献%	标注金额占比	1
标注风险阈值	标注风险	1
标注风险集中度	标注风险	1
标注风险预警	标注风险	1
标注风险食品	标注风险	1
标注风险驱动	标注风险	1
标注飓风名+等级	标注评分	1
标注食材	标注数值	1
标注饮食和生活方式变化	标注关键信息	1
标注饮食干预点和响应指标	标注事件	1
标注饱和度	标注关键信息	1
标注饱和点	标注关键信息	1
标注首艘万TEU船交付	标注关键信息	1
标注驱动	标注驱动因素	2
标注驱动事件	标注事件	2
标注驱动切换	标注驱动因素	1
标注驱动因素	标注驱动因素	18
标注驱动因素名	标注驱动因素	1
标注驱动因素名称+幅度	标注驱动因素	1
标注驱动因素权重	标注驱动因素	1
标注驱动幅度	标注驱动因素	1
标注驱动突变	标注驱动因素	1
标注驱动评分和渗透率	标注占比	1
标注驱动项	标注驱动因素	3
标注验证评分	标注评分	1
标注验证障碍	标注关键信息	1
标注高峰时段	标注关键信息	2
标注高峰时段和最堵路段	标注关键信息	1
标注高度	标注数值	1
标注高技术超过30%的拐点	标注占比	1
标注高风险	标注风险	1
标注高风险品种	标注风险	1
标注高风险线	标注风险	1
标注黄金时段	标注关键信息	1
标注龙头公司名	标注实体名	1
样本ID+趋势线	标注趋势特征	1
样本量标注下方	标注位置	3
根因节点用蓝色，中间节点用灰色	标注阶段	1
根部标根因名	标注驱动因素	1
格内不标注数字，颜色即信息	无标注	2
格内不标注，颜色密度即信息	无标注	1
格内标	标注数值	1
格内标份额百分比	标注金额占比	1
格内标房企名和风险等级	标注风险	1
格内标板块名和涨跌幅	其他标注	1
格内标注企业所在象限和下一步建议	标注驱动因素	1
格内标注维度名和成熟度等级	标注维度评分	1
格内标注耐药率百分比	标注占比	1
格内标注风险名称	标注风险	1
格内标注风险类型和缓解措施	标注风险	1
格内标测试名和关键指标	其他标注	1
格内标项目名和优先级标签	标注实体名	1
格内标项目名和评分	标注评分	1
格内标风险等级和最近审计日期	标注风险	1
格子标事件+频率	标注事件	1
格子标企业	标注数值	1
格子标评级	标注评分	1
格子标资源+优先级	标注驱动因素	1
格子标风险+等级	标注风险	1
格式标注面积内	标注位置	1
框架名+指标	标注数值	1
框架名+组织	标注数值	1
框标模块名	标注数值	1
案件数+胜诉率	其他标注	1
桥墩标举措	标注数值	1
桥标因素	标注驱动因素	1
检查/诊断标注	其他标注	1
棒棒糖端标国名和排名，组标题标注	标注排名	1
概念名标注	标注实体名	1
概率标注	标注数值	2
概率标注中线	标注数值	1
概率标注扇区	标注位置	1
模块+功能	标注数值	1
模块名称	标注数值	1
模型名+指标	标注实体名	1
模型名+象限	标注象限策略	2
模型名+趋势	标注实体名	1
模型名+趋势线	标注实体名	1
模型名标注图例	标注实体名	1
模式+占比	标注占比	1
模式+象限标签	标注象限策略	1
模式+转移量	标注数值	1
模式标注	标注数值	1
横向分组瀑布图，每家企业在	标注象限策略	1
横向区间图，X轴=选举人票数，Y轴=概率密度，中间270票线用粗线标注	标注趋势特征	1
横向堆叠条形图，每行一年（2019-2024），按份额降序排列；右侧放	标注金额占比	1
横向排列的食物对比，每种食物一行方块，方块数量=碳排放当量	标注数值	1
横向时间轴（2000-2050），纵轴为	其他标注	1
横向时间轴（Year	其他标注	1
横向时间轴，y	其他标注	1
横向时间轴，冰层面积从上往下缩减，留白区域即"消失的冰"	标注阶段	1
横向时间轴，实际数据用实心柱，预测区间用半透明带状叠加	其他标注	1
横向时间轴，纵向层叠面积，底部=致死，顶部=轻伤	标注阶段	1
横向瀑布图为主图，下方	标注位置	1
横向瀑布图变体：独立价值→+成本协同→+收入协同→+财务工程→-溢价→合并价值	标注效率	1
横向瀑布图，左起点→中间分解→右终值；底部放举措优先级排名条	标注排名	1
横向瀑布图，左起铸造成本，中间依次叠加分发/流通/回收成本，右侧总计	其他标注	1
横向瀑布，从左"当前"到右"目标"	其他标注	1
横向瀑布，左起点→中间分解→右终值	其他标注	1
横轴年份，纵轴女性台词占比，50%参考线加粗	标注参考线	1
次数+成功率	标注转化率	1
次数标注段内	标注位置	1
歌名标注首尾	标注实体名	1
正方形画布，对角线+弯曲曲线	其他标注	1
正方形矩阵，x	其他标注	1
步骤+转化率	标注转化率	1
步骤名框内	标注阶段	2
步骤标假设+结果	标注阶段	1
段内标数量和转化率%，瓶颈写原因	标注金额占比	1
段内标注态度比例	标注占比	1
段标比例	标注占比	1
段标类别+占比	标注占比	3
每个	标注数值	1
每个区域标注元素数量	标注数值	1
每个子弹标	标注数值	1
每个指标标当前值和估算	其他标注	1
每个指标标当前值和趋势	标注趋势特征	1
每个指标配微型图+数值，异常标红色	标注数值	1
每个环节标注转化率	标注转化率	1
每个目标标当前评分和目标	标注评分	1
每个矩阵标注年份和战略事件	标注事件	1
每个维度标当前分和基准	标注维度评分	1
每个部门标使用率和排名	标注排名	1
每图标国名和年度涨跌幅，统一刻度	标注实体名	1
每图标国名和累计死亡，底部标统一日期范围	标注实体名	1
每图标注国名和最新值	标注实体名	1
每图标注城市名和排名	标注排名	1
每图标注年份和胜率	其他标注	1
每图标题=家庭类型	其他标注	1
每图标飓风名和等级	标注评分	1
每小图标标题+国家名，底部标统一刻度	标注实体名	1
每层标注关键特征和企业比例	标注占比	1
每层标注典型举措和收入占比	标注金额占比	1
每层标注典型企业特征	标注阶段	1
每层标注战略要素名	标注阶段	1
每年一条坡度线	其他标注	1
每柱标注业务线和价值规模	标注效率	1
每柱标注产品线名和贡献百分比	标注占比	1
每柱标注企业名和估值	标注实体名	1
每柱标注具体行动名	其他标注	1
每柱标注协同类型和时间	其他标注	1
每柱标注品类名和增长率	标注增长率	1
每柱标注品类名和退货率	其他标注	1
每柱标注器官系统和差异	标注差异	1
每柱标注国家/品类和贡献度	标注实体名	1
每柱标注国家/地区和金额	标注实体名	1
每柱标注场景名和	其他标注	1
每柱标注宏观因素和贡献度	标注驱动因素	1
每柱标注客户群和变动原因	标注驱动因素	1
每柱标注战略举措名	标注驱动因素	1
每柱标注折扣类型和百分比	标注占比	1
每柱标注政策或经济因素	标注事件	1
每柱标注板块名和涨跌幅	其他标注	1
每柱标注流失原因	标注驱动因素	1
每柱标注环节名和成本	标注阶段	1
每柱标注组成部分和优化杠杆	其他标注	1
每柱标注行业名和变动数	标注实体名	1
每柱标注行业和基点变动	其他标注	1
每柱标注触点名和	其他标注	1
每柱标注转型举措和贡献	其他标注	1
每柱标注轮次和平均估值	其他标注	1
每柱标注驱动因素名	标注驱动因素	1
每柱标注驱动因素名和百分比	标注占比	1
每根柱顶部标驱动因素名和贡献值，起点终点加粗	标注驱动因素	1
每格标注情景名和战略动作	标注驱动因素	1
每段标IRR贡献点	其他标注	1
每段标NPS贡献点	其他标注	1
每段标企业贡献量和占比	标注金额占比	1
每段标制造/使用/回收排放	标注数值	1
每段标助推器回收/复用/规模效应	其他标注	1
每段标占GDP百分点	标注占比	1
每段标地区和万亿美元	其他标注	1
每段标增长贡献	其他标注	1
每段标年龄段和金额万亿	标注数值	1
每段标影响百分点	标注占比	1
每段标成本构成和$/MMBtu	其他标注	1
每段标成本项和金额	标注因素金额	1
每段标指数贡献点	标注评分	1
每段标挽救生命数	其他标注	1
每段标措施名和减排量	其他标注	1
每段标政策名和减收金额	标注事件	1
每段标数量和十亿估值	标注数值	1
每段标时间和金额	标注数值	1
每段标机构和百分点变化	标注占比	1
每段标油费/保养/保险/残值差	其他标注	1
每段标注行业占比	标注占比	1
每段标溢价贡献因素	标注驱动因素	1
每段标环节名和利润率	标注阶段	1
每段标留存百分点	标注占比	1
每段标积分来源	其他标注	1
每段标芯片类型和百万辆	其他标注	1
每段标行业和万亿美元	其他标注	1
每段标行业和万亿美元贡献	其他标注	1
每段标贡献万辆	其他标注	1
每段标贡献倍数	标注效率	1
每段标贡献百分点	标注占比	4
每段标贡献金额	标注数值	3
每段标财务指标变化	其他标注	1
每段标财富份额百分比	标注金额占比	1
每段标金额	标注数值	1
每段标金额和占比	标注金额占比	1
每段标金额和百分比	标注占比	1
每段标阶段和金额	标注阶段	1
每段标降本因素和$/kWh	标注驱动因素	1
每段标降本幅度和元/单	标注效率	1
每组=一国，按可再生能源比例排序	标注占比	1
每组标均值±95%CI，n	标注占比	1
每维度标评分或符号，底部写最终推荐	标注维度评分	1
每行标注州名和当前值	其他标注	1
每行标注州名和恢复百分比	标注占比	1
每迷你图标代码和涨跌幅%，紧凑排列	标注占比	2
每阶段标注关键能力特征	标注阶段	1
每阶段标金额和加权值	标注阶段	1
每面板标	标注数值	1
每面板标注成分名和方差占比	标注占比	1
每面标注	标注数值	1
每面标注变量名和统计检验	其他标注	1
每面标注条件名和回归方程	其他标注	1
每面标注细胞系名和	其他标注	1
每项研究标名称和效应量，底部汇总标	其他标注	1
比例标注	标注占比	1
比值+全国平均	标注参考线	1
比值标注图例	标注位置	1
比值标注柱端	标注数值	1
比率标注	标注数值	1
比率标注图例	标注位置	1
气泡=收入	标注数值	1
气泡上标政治家和国家名	标注实体名	1
气泡内业务名+增长率	标注增长率	1
气泡内亚群名+频率%	标注占比	1
气泡内企业名	标注实体名	1
气泡内供应商名	标注实体名	1
气泡内公司名	标注实体名	2
气泡内公司名+份额	标注金额占比	1
气泡内公司名和行业	标注实体名	1
气泡内写简称+增长率	标注增长率	1
气泡内协议名+TVL	其他标注	1
气泡内厂商名	标注实体名	1
气泡内厂商名+份额%	标注金额占比	1
气泡内品类名	标注数值	1
气泡内国名+流入亿	标注实体名	1
气泡内国家名	标注实体名	1
气泡内城市名	标注实体名	2
气泡内城市线级	标注实体名	1
气泡内大学名	标注数值	1
气泡内技术名	标注实体名	1
气泡内指标+数值	标注数值	1
气泡内板块名+万亿美元	其他标注	1
气泡内板块名+净流亿	其他标注	1
气泡内标产品名和增长率	标注增长率	1
气泡内标供应商简称	标注实体名	1
气泡内标公司名和估值	标注实体名	1
气泡内标公司简称和轮次	其他标注	1
气泡内标利益方名	其他标注	1
气泡内标厂商简称和增速	标注增长率	1
气泡内标国家名和	标注实体名	1
气泡内标国家和缺水百分比	标注占比	1
气泡内标城市名和人口数	标注实体名	1
气泡内标客户名和	其他标注	1
气泡内标客户群名和	其他标注	1
气泡内标平台名和	其他标注	1
气泡内标技术名	标注实体名	1
气泡内标排名前五国家	标注排名	1
气泡内标注品牌名	标注实体名	1
气泡内标省份名和	其他标注	1
气泡内标类别名和万亿美元	其他标注	1
气泡内标细分名和	其他标注	1
气泡内标车企名和份额	标注金额占比	1
气泡内标通路名和基因数	其他标注	1
气泡内标重点国家名	标注实体名	1
气泡内标项目名和	标注实体名	1
气泡内标项目名和预期回报	标注实体名	1
气泡内标风险名	标注风险	1
气泡内模型名	标注实体名	1
气泡内球队缩写+3P%	标注占比	1
气泡内目的地名	其他标注	1
气泡内风险名	标注风险	1
气泡大小=市场规模，标注场景名	其他标注	1
气泡大小=影响范围，象限标注策略	标注象限策略	1
气泡大小=投资额，颜色=贡献等级	标注评分	1
气泡大小=收入	其他标注	1
气泡大小=收入，象限标注策略	标注象限策略	1
气泡大小=融资额，标注公司名	标注实体名	1
气泡标业务名，箭头标迁移方向	其他标注	1
气泡标事项名	标注数值	1
气泡标企业	标注数值	2
气泡标公司+金额	标注数值	1
气泡标厂商名，象限写名称	标注实体名	1
气泡标名称+三维	其他标注	1
气泡标国名和产量吨数，颜色=用途	标注实体名	1
气泡标国家+贫困率	标注实体名	1
气泡标客户名，象限标策略建议	标注驱动因素	1
气泡标芯片名，右下角标"甜蜜区"	其他标注	1
气泡标通路名和	其他标注	1
气泡标通路名和基因数	其他标注	1
气泡标领域+金额	标注数值	1
气泡轨迹带年份尾迹	其他标注	1
氢能类型	标注数值	1
氢量标注	标注数值	1
水平双向柱人口金字塔	标注数值	1
水平双向柱，中轴=年龄，底部=人口数	标注数值	1
水平双向柱，中轴标注	其他标注	1
水平双向柱，零线居中，按变化大小排序	其他标注	1
水平堆叠条形，按	其他标注	1
水平堆叠柱，降序排列，每柱4段	其他标注	1
水平子弹图排列，三层灰度背景带	标注阶段	1
水平排列的密度分布，对称展开	标注趋势特征	1
水平时间线，节点从左到右排列，间距编码时滞	标注阶段	1
水平时间轴堆叠面积，按类型分层	标注阶段	1
水平时间轴堆叠面积，按赛道分层	标注阶段	1
水平时间轴河流图，按能源类型分层	标注阶段	1
